0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4.256582,4.375999,3.78038,5.298075,5.528563,6.421384,5.029728,3.306942,8.193191,6.393206,7.76091,4.45914,2.168419,6.313913,6.592705,5.845611,3.45431,3.888247,4.242814,1
7.157764,7.021724,6.165945,9.779738,9.130485,7.517292,7.429512,5.092359,8.25201,9.221446,7.877202,5.813663,7.108125,13.536152,10.042861,7.516968,7.22863,12.82347,7.441908,1
4.129224,3.900184,3.471434,4.234669,5.605069,4.288523,2.736724,2.759213,3.920051,4.917176,3.947363,1.830192,3.47998,3.409745,3.579006,3.437863,1.832148,2.817778,2.754127,1
6.033871,5.856384,6.399168,6.066822,6.476094,6.78744,6.930543,11.567516,7.253826,7.55921,6.451353,4.727547,3.578954,6.367745,9.094654,8.362807,5.33145,6.923495,7.55457,1
5.341148,6.0044,4.7778,5.912975,6.254065,7.103577,6.187098,4.196443,6.255018,6.270447,6.955471,6.046681,2.978502,4.682721,5.523864,5.934317,4.633854,5.275335,6.188157,1
25.245015,25.836178,21.558559,25.432069,26.543819,26.975732,23.171728,15.13052,24.506241,28.496015,25.781723,21.583506,7.303902,18.984647,19.310791,24.785135,22.324512,20.838553,22.464766,1
17.157628,17.773039,15.462785,18.825217,18.950789,17.354415,10.890128,11.890408,24.549901,22.192029,19.627358,7.529479,10.882374,21.412656,22.758355,24.646638,16.402041,8.03834,8.550967,1
9.158876,8.476852,8.657632,13.73093,10.084488,10.090376,8.201156,9.440537,12.601132,11.016386,11.718571,7.380852,10.335438,13.809684,11.414557,13.24628,4.932778,14.017413,12.944115,1
9.322572,9.896755,6.643592,9.46693,11.401312,11.1872,9.143894,3.525532,7.85123,12.694443,9.877147,5.537566,6.9363,11.275435,17.176587,13.722736,8.947868,14.374522,6.861622,1
2.703893,3.528021,2.835491,2.991088,3.134249,3.378341,6.592853,2.950674,2.41162,3.429571,3.906263,4.237636,2.440651,3.558519,3.922625,3.042433,3.53555,4.955287,3.835251,1
8.747783,6.89368,5.474689,7.391532,7.034616,6.463654,4.859799,5.066774,6.529697,7.852693,6.729088,4.076993,6.0097,10.387448,11.293889,9.754474,6.37906,6.969946,8.733992,1
3.374566,3.798196,8.310272,8.100914,6.254113,7.162482,6.206734,5.875944,5.077767,4.021813,3.623882,2.809036,4.28198,2.351836,2.731463,2.331572,1.344934,1.913036,1.50656,1
11.656036,12.955394,10.608028,12.996919,14.472118,13.383442,11.499608,6.047002,11.44844,14.521969,12.583365,6.795268,5.510452,10.338726,13.809171,13.282062,6.987655,7.955715,7.859635,1
5.663112,5.09909,5.704176,9.955089,8.150938,8.017771,3.960196,2.776469,5.77847,6.357725,4.287307,2.290601,1.962718,3.611291,3.810778,3.599086,1.813526,2.886755,4.467267,1
16.41592,17.091922,15.107271,14.752261,14.934948,15.640517,16.132345,13.699691,10.898706,14.883499,14.357569,14.600679,2.683313,9.96804,13.426137,14.254598,14.974371,12.654803,15.880623,1
5.170562,5.507996,4.503881,6.977221,7.182525,6.074652,4.18731,3.480087,6.880242,8.45117,6.61565,5.723807,2.914766,6.260249,7.175036,6.130944,3.520976,4.150224,3.718561,1
4.864423,4.653242,4.835646,7.030015,6.870308,5.964984,2.909625,3.996607,6.560968,7.205315,5.440077,2.354271,3.761083,5.745023,5.523227,4.417278,3.510945,3.104512,3.552339,1
9.836214,11.895042,5.87902,13.876679,14.736852,14.277277,8.474086,3.841206,12.29567,11.949818,13.149571,4.347366,5.67219,10.485007,10.037732,10.512576,4.044019,6.140617,8.233979,1
3.561053,3.468421,3.680946,3.760173,3.959741,3.663705,3.573893,4.381887,3.401942,3.813531,3.50373,3.758628,2.918832,3.112791,4.334362,8.328749,2.323685,4.836959,3.516234,1
6.350879,6.644037,4.80128,7.67363,9.318842,7.722572,6.009138,5.055564,6.496583,9.9588,8.762147,6.851487,3.226115,5.441819,7.034144,6.744881,4.227175,3.457873,3.936268,1
7.370422,6.667789,6.291976,8.738494,9.339762,8.53332,5.536506,5.435274,11.020542,11.527786,8.246639,4.33714,5.882477,9.218027,9.718322,8.478062,5.183483,8.074979,7.776442,1
6.912113,6.558091,5.274416,8.455234,8.176461,7.840431,4.359146,3.983724,6.841758,8.615848,6.221295,2.499467,5.010853,6.472985,6.187369,4.185166,3.496556,5.496138,4.351402,1
9.58618,10.112274,6.270093,11.127569,11.640624,11.987414,7.206909,4.220706,10.815517,13.15638,15.069982,6.217748,5.003778,12.483191,13.943632,10.40822,6.047767,8.882884,6.112347,1
5.446806,5.325317,4.762656,6.604459,7.440305,6.740095,4.208189,3.559088,5.64741,8.505439,6.331551,3.055296,3.360682,5.426424,6.199032,5.463912,3.471931,5.232122,3.707747,1
